773	96
773	123
773	268
773	385
773	635
773	774
773	776
773	777
773	932
773	1020
773	1021
773	1053
773	1096
773	1332
773	1646
773	1683
96	773
96	776
96	1020
96	1053
96	1157
96	1332
96	1504
96	1588
96	1683
96	1684
268	131
268	635
268	773
268	1020
268	1053
385	45
385	99
385	139
385	343
385	381
385	382
385	399
385	687
385	773
385	822
385	1020
385	1053
385	1105
385	1107
385	1108
385	1165
385	1262
385	1264
385	1274
385	1316
385	1491
385	1683
385	1765
385	1860
635	141
635	268
635	773
635	1020
635	1053
635	1108
635	1396
635	1683
635	1748
774	635
774	776
774	1020
774	1053
774	1332
774	1683
776	635
776	771
776	773
776	777
776	1020
776	1053
776	1332
776	1683
777	276
777	635
777	773
777	776
777	863
777	1020
777	1053
777	1332
777	1396
777	1683
932	222
932	399
932	699
932	1173
932	1274
932	1300
932	1490
932	1491
932	1612
932	1860
1020	118
1020	268
1020	635
1020	773
1020	854
1020	981
1020	1021
1020	1053
1020	1396
1020	1504
1020	1571
1020	1683
1021	773
1021	1020
1021	1053
1053	268
1053	399
1053	771
1053	773
1053	1020
1053	1093
1053	1588
1053	1646
1053	1683
1053	1714
1096	385
1096	771
1096	773
1096	1020
1096	1108
1096	1862
1332	84
1332	141
1332	343
1332	773
1332	776
1332	777
1332	1020
1332	1053
1332	1683
1332	1714
1646	635
1646	771
1646	773
1646	1020
1646	1053
1646	1683
1683	84
1683	343
1683	344
1683	635
1683	773
1683	776
1683	1020
1683	1053
1683	1646
1683	1684
1683	1739
1683	1908
118	399
118	695
118	959
118	960
118	963
118	971
118	973
118	976
118	981
118	995
118	1007
118	1020
118	1053
118	1141
118	1173
118	1267
118	1490
118	1683
854	1020
981	99
981	118
981	399
981	939
981	948
981	959
981	960
1396	635
1396	773
1396	1020
1396	1053
1396	1683
1504	773
1504	1020
1504	1151
1504	1683
1571	773
1571	1020
1571	1053
1571	1683
1571	1684
399	118
399	223
399	695
399	773
399	981
399	1683
771	772
771	773
771	1020
771	1053
771	1683
1093	773
1093	971
1093	1053
1093	1683
1588	118
1588	773
1588	1020
1588	1053
1588	1504
1588	1683
1714	131
1714	285
1714	620
1714	785
1714	1628
1714	1854
84	635
84	1020
84	1053
84	1332
84	1683
343	45
343	392
343	609
343	1066
343	1278
344	141
344	1020
344	1053
344	1683
1684	635
1684	773
1684	1020
1684	1053
1684	1157
1684	1622
1684	1623
1684	1683
1739	1020
1739	1053
1739	1683
1908	773
1908	1683
1908	1888
1108	118
1108	398
1108	773
1108	1020
1108	1053
1108	1096
1108	1105
1108	1107
1108	1118
1108	1235
1108	1262
1108	1491
1108	1683
1862	1683
398	773
398	1108
398	1683
1105	773
1105	1020
1105	1053
1105	1108
1105	1262
1105	1314
1105	1683
1107	690
1107	773
1107	1020
1107	1053
1107	1105
1107	1108
1107	1262
1107	1332
1107	1683
1118	773
1118	1053
1118	1096
1118	1107
1118	1108
1118	1683
1235	45
1235	131
1235	343
1235	385
1235	773
1235	1212
1235	1262
1235	1683
1262	45
1262	382
1262	385
1262	399
1262	932
1262	1264
1262	1491
1491	223
1491	276
1491	932
1491	1612
4	773
4	1020
4	1683
4	1739
56	58
56	59
56	60
58	56
58	59
58	276
58	343
58	1590
59	56
59	58
59	60
59	164
59	1590
60	56
60	58
60	59
60	1491
60	1590
276	1183
276	1683
1590	56
1590	58
1590	59
1590	60
1590	164
164	56
164	58
164	59
164	1590
162	45
162	56
162	58
162	59
162	60
162	164
162	173
162	1590
45	99
45	131
45	223
45	285
45	385
45	652
45	1056
45	1193
45	1274
45	1347
45	1653
173	56
173	58
173	59
173	60
173	162
173	164
173	1590
173	1852
1852	99
1852	131
1852	285
1852	785
1852	901
1852	1020
1852	1056
1852	1227
1852	1714
1852	1854
785	791
785	1628
785	1714
785	1956
791	785
1628	175
1628	285
1628	785
1628	1714
1956	785
99	45
99	518
99	639
99	652
99	1165
131	45
131	129
131	138
131	285
131	431
131	448
131	760
131	1053
131	1056
131	1158
131	1212
131	1477
285	7
285	93
285	99
285	131
285	488
285	501
285	513
285	558
285	1038
285	1056
285	1165
285	1212
901	45
901	99
901	903
1056	99
1056	131
1056	139
1056	154
1056	285
1056	310
1056	558
1056	790
1056	1020
1056	1053
1056	1477
1227	131
1227	141
1227	773
1227	1020
1227	1053
1227	1683
1227	1854
1854	99
1854	131
1854	285
1854	785
1854	901
1854	1020
1854	1056
1854	1227
1854	1714
1854	1965
7	45
7	446
7	488
7	652
7	773
7	851
7	1020
7	1056
7	1548
7	1653
446	285
488	7
488	45
488	490
488	494
488	1056
488	1477
652	45
652	99
652	118
652	131
652	285
652	518
652	773
652	1020
652	1056
652	1491
652	1683
851	45
851	833
851	842
851	850
851	1477
851	1913
1653	28
1653	45
1653	99
1653	147
1653	222
1653	223
1653	343
1653	385
1653	506
1653	518
1653	522
1653	932
1653	1165
1653	1274
1653	1376
1653	1753
223	222
223	236
1193	45
1193	131
1193	1056
1193	1151
1193	1165
1274	45
1274	285
1274	343
1274	385
1274	522
1274	1020
1274	1056
1274	1188
1274	1383
1274	1612
1274	1653
1274	1712
1347	39
1347	41
1347	44
1347	45
1347	54
1347	99
1347	305
1347	637
1347	684
1347	1154
1347	1337
1347	1339
1347	1524
490	131
490	488
490	1038
490	1477
490	1913
494	131
494	285
494	440
494	488
494	773
494	1038
1477	131
1477	138
1477	154
1477	175
1477	285
1477	441
1477	490
1477	494
1477	558
1477	578
1477	760
1477	1020
1477	1038
1477	1056
1477	1620
518	99
518	118
518	175
518	222
518	285
518	343
518	635
518	652
518	1020
518	1053
518	1056
518	1262
518	1653
518	1683
833	45
833	131
833	285
833	1043
833	1056
833	1212
833	1549
833	1962
842	45
842	131
842	141
842	399
842	498
842	670
842	695
842	773
842	785
842	932
842	989
842	1020
842	1053
842	1056
842	1274
842	1347
842	1464
842	1504
842	1515
842	1683
842	1684
842	1821
842	1913
850	1170
850	1704
1913	55
1913	833
1913	851
139	385
139	932
139	1056
154	285
154	1038
154	1056
154	1212
154	1477
154	1697
310	131
310	285
310	544
310	773
310	856
310	1212
310	1303
310	1924
558	131
558	154
558	285
558	626
558	760
558	1020
558	1056
558	1212
558	1362
790	285
790	501
790	1038
790	1056
790	1419
28	27
28	1653
147	45
147	1188
147	1653
222	45
222	399
222	1653
222	1753
506	45
506	131
506	609
506	1274
522	45
522	236
522	932
1165	27
1165	45
1165	99
1165	1653
1376	45
1376	99
1376	131
1376	1347
1376	1653
1753	45
1753	131
1753	223
1753	285
1753	1193
1753	1274
1753	1376
1753	1631
1753	1653
1753	1758
695	399
695	1491
695	1612
1300	932
129	131
129	285
138	131
138	136
138	137
138	285
138	430
138	431
